model,host,size,decay,onset_ms,density_0_50,density_0_100,density_100_500,crest,rms_tail,peak,rt20,rt30,rt60,centroid_hz,energy_db
invariant,88200,2,0.877465,0,1060,1010,600,23.9204,0.0029919,0.105295,7.75269,5.29653,5.29653,11461.9,5.70697
invariant,88200,2,0.95,0,1060,1010,610,20.8133,0.00369526,0.105295,6.2081,4.18898,4.18898,11461.9,7.27479
invariant,96000,0,0.5,0,1340,1150,312.5,32.1451,0.00118037,0.0995715,1.36966,1.38938,1.38938,10506.8,0.961725
invariant,96000,0,0.877465,0,1340,1150,1067.5,23.671,0.00268565,0.0995715,5.98819,5.85973,5.85973,10827.9,5.35208
invariant,96000,0,0.95,0,1340,1150,1242.5,17.7054,0.0038773,0.0995715,8.61419,6.09994,6.09994,10861,8.03327
invariant,96000,1,0.5,0,1160,1020,380,30.1735,0.00129268,0.0993553,2.85756,2.82004,2.82004,9636.87,0.935989
invariant,96000,1,0.877465,0,1160,1020,837.5,22.1665,0.00274745,0.0993553,8.54756,6.2686,6.2686,9636.87,5.36689
invariant,96000,1,0.95,0,1160,1020,920,17.5258,0.00375333,0.0993553,7.324,4.97948,4.97948,9636.87,7.70058
invariant,96000,2,0.5,0,1020,1000,385,40.5693,0.00139827,0.0992945,5.72231,5.6346,5.6346,9351.33,1.00087
invariant,96000,2,0.877465,0,1020,1000,522.5,22.8016,0.00269449,0.0992945,7.63441,5.21319,5.21319,9351.33,5.11268
invariant,96000,2,0.95,0,1020,1000,535,19.9136,0.00333851,0.0992945,6.08253,4.10206,4.10206,9351.33,6.72106
invariant,192000,0,0.5,0,1440,1260,412.5,42.4724,0.000702901,0.0567763,1.37258,1.3869,1.3869,18567,-0.582846
invariant,192000,0,0.877465,0,1440,1260,1255,23.4709,0.00154461,0.0567763,5.89256,5.79342,5.79342,18720.9,3.60302
invariant,192000,0,0.95,0,1440,1260,1455,17.6681,0.00221247,0.0567763,8.66631,6.14483,6.14483,18736.2,6.20319
invariant,192000,1,0.5,0,1140,1160,527.5,49.4877,0.000764531,0.0570297,2.87613,2.83756,2.83756,22273.5,-0.597175
invariant,192000,1,0.877465,0,1140,1160,1055,24.1407,0.00156727,0.0570297,8.59814,6.31821,6.31821,22273.5,3.56627
invariant,192000,1,0.95,0,1140,1160,1107.5,17.8024,0.00212527,0.0570297,7.43416,5.05425,5.05425,22273.5,5.8161
invariant,192000,2,0.5,0,1040,1050,572.5,46.3391,0.000827096,0.056734,5.75206,5.65723,5.65723,20330.6,-0.5678
invariant,192000,2,0.877465,0,1040,1050,722.5,24.9482,0.00153626,0.056734,7.77828,5.31248,5.31248,20330.6,3.28875
invariant,192000,2,0.95,0,1040,1050,730,20.2763,0.00189023,0.056734,6.23556,4.20523,4.20523,20330.6,4.82966
